<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.03.25	09:30:00	3016.90	3017.43	3015.35	3015.62	879	0	4
2025.03.25	09:45:00	3015.62	3018.65	3014.78	3017.87	1059	0	4
2025.03.25	10:00:00	3017.86	3018.20	3015.52	3017.41	1207	0	4
2025.03.25	10:15:00	3017.42	3017.44	3013.11	3014.83	1674	0	4
2025.03.25	10:30:00	3014.92	3016.54	3012.43	3012.91	1229	0	4
2025.03.25	10:45:00	3012.92	3013.42	3010.54	3011.32	1334	0	4
2025.03.25	11:00:00	3011.35	3015.35	3010.68	3013.57	1547	0	4
2025.03.25	11:15:00	3013.51	3018.10	3012.91	3017.97	1424	0	4
2025.03.25	11:30:00	3017.88	3020.41	3017.63	3019.99	1878	0	4
2025.03.25	11:45:00	3019.96	3021.82	3019.83	3021.29	1450	0	4
2025.03.25	12:00:00	3021.21	3021.49	3019.70	3021.19	1199	0	4
2025.03.25	12:15:00	3021.19	3021.81	3020.01	3021.28	1059	0	4
2025.03.25	12:30:00	3021.28	3021.48	3019.00	3021.25	1129	0	4
2025.03.25	12:45:00	3021.23	3023.55	3021.11	3023.37	1294	0	4
2025.03.25	13:00:00	3023.29	3024.79	3022.92	3023.97	1095	0	4
2025.03.25	13:15:00	3023.97	3024.45	3021.18	3021.27	1202	0	4
2025.03.25	13:30:00	3021.20	3024.01	3020.57	3023.18	1221	0	4
2025.03.25	13:45:00	3023.19	3024.49	3022.62	3023.66	1149	0	4
2025.03.25	14:00:00	3023.66	3024.95	3023.24	3024.34	1015	0	4
2025.03.25	14:15:00	3024.34	3025.58	3023.35	3025.21	1096	0	4
2025.03.25	14:30:00	3025.24	3026.51	3022.73	3023.52	1457	0	4
2025.03.25	14:45:00	3023.52	3023.72	3020.34	3020.77	1578	0	4
2025.03.25	15:00:00	3020.82	3021.94	3015.85	3018.36	2468	0	4
2025.03.25	15:15:00	3018.37	3018.95	3014.17	3016.75	2233	0	4
2025.03.25	15:30:00	3016.78	3020.12	3016.78	3018.79	2341	0	4
2025.03.25	15:45:00	3018.79	3023.24	3018.49	3021.62	1660	0	4
2025.03.25	16:00:00	3021.60	3025.08	3020.84	3024.11	2155	0	4
2025.03.25	16:15:00	3024.24	3024.58	3021.01	3023.36	2058	0	4
2025.03.25	16:30:00	3023.30	3030.63	3023.30	3027.66	3580	0	6
2025.03.25	16:45:00	3027.64	3030.23	3026.25	3028.81	2803	0	4
2025.03.25	17:00:00	3028.82	3035.82	3027.55	3032.41	3504	0	4
2025.03.25	17:15:00	3032.39	3033.80	3027.39	3028.27	3353	0	4
2025.03.25	17:30:00	3028.16	3030.92	3025.62	3030.41	2588	0	4
2025.03.25	17:45:00	3030.44	3030.75	3025.11	3025.13	2188	0	4
2025.03.25	18:00:00	3025.06	3028.10	3021.01	3023.07	3018	0	4
2025.03.25	18:15:00	3023.06	3023.54	3020.79	3022.79	2270	0	4
2025.03.25	18:30:00	3022.92	3025.07	3017.87	3023.15	2463	0	4
2025.03.25	18:45:00	3023.29	3023.29	3021.10	3021.60	1307	0	4
2025.03.25	19:00:00	3021.60	3024.52	3021.40	3024.08	1666	0	4
2025.03.25	19:15:00	3024.12	3024.45	3022.22	3022.57	1502	0	4
2025.03.25	19:30:00	3022.54	3024.83	3022.28	3024.06	1567	0	4
2025.03.25	19:45:00	3024.06	3025.60	3023.13	3023.19	1146	0	4
2025.03.25	20:00:00	3023.20	3023.46	3021.44	3022.04	1350	0	4
2025.03.25	20:15:00	3022.05	3023.19	3019.85	3021.51	1588	0	4
2025.03.25	20:30:00	3021.70	3022.70	3020.09	3022.06	1254	0	4
2025.03.25	20:45:00	3022.16	3022.93	3020.81	3022.65	801	0	4
2025.03.25	21:00:00	3022.65	3022.88	3020.97	3022.24	787	0	4
2025.03.25	21:15:00	3022.16	3022.44	3018.40	3018.75	1302	0	4
2025.03.25	21:30:00	3018.84	3019.43	3018.05	3018.88	1006	0	4
2025.03.25	21:45:00	3018.88	3019.30	3017.83	3018.67	954	0	4
2025.03.25	22:00:00	3018.57	3019.74	3017.84	3019.68	624	0	4
2025.03.25	22:15:00	3019.70	3019.77	3018.64	3018.85	802	0	4
2025.03.25	22:30:00	3018.84	3020.35	3018.81	3020.22	828	0	4
2025.03.25	22:45:00	3020.25	3020.74	3018.72	3019.65	1116	0	4
2025.03.25	23:00:00	3019.64	3020.28	3018.85	3020.12	469	0	4
2025.03.25	23:15:00	3020.10	3020.74	3019.76	3019.87	365	0	4
2025.03.25	23:30:00	3019.85	3020.47	3019.83	3020.22	317	0	4
2025.03.25	23:45:00	3020.09	3020.79	3019.82	3019.87	383	0	20
2025.03.26	01:00:00	3019.56	3022.39	3019.46	3022.00	417	0	10
2025.03.26	01:15:00	3021.95	3021.95	3020.46	3021.51	326	0	8
2025.03.26	01:30:00	3021.33	3021.60	3020.35	3021.00	212	0	8
2025.03.26	01:45:00	3020.99	3021.55	3020.67	3021.40	234	0	8
2025.03.26	02:00:00	3021.45	3021.63	3021.05	3021.08	309	0	8
2025.03.26	02:15:00	3021.08	3021.70	3020.73	3021.35	212	0	8
2025.03.26	02:30:00	3021.31	3021.92	3020.97	3021.31	242	0	8
2025.03.26	02:45:00	3021.31	3021.70	3020.56	3021.00	337	0	8
2025.03.26	03:00:00	3021.00	3021.78	3020.85	3021.37	496	0	8
2025.03.26	03:15:00	3021.32	3022.24	3020.69	3020.69	548	0	8
